author,published_at,like_count,text,public,video_id
@ummamahevintasaupan2765,2026-04-14T06:38:44Z,0,Tdk akan pernah puas apa yg di lakukan pemerintah bagi penghianat bangsa dan pembenci yg g suka lihat negara sendiri berkembang atau maju😏 untuk pak Prabowo dan pemerintah semangat terus berjuang untuk rakyat💪🇮🇩👍,True,lmcwEO9Lqe8
@InNdraiyud,2026-04-14T02:23:50Z,0,"MBG itu potret ketidakmampuan pemerintah dalam memperbaiki perekonomian negara. Seolah2 masyarakat dikasih lihat, negara Indonesia ini sejak dibawah pemerintahan prabowo hebat Indonesia bisa memberikan makan bergizi gratis, ekonomi Indonesia surplus. Semuanya dgn cara membelanjakan uang pajak rakyat😂. Dan itu disebut makan bergizi gratis 😂. Disamping itu pemerintah gak mau ngurusin investasi yang menurun dan lapangan kerja yang sedikit, pemerintah selalu mengelak kalo itu semua karena angkatan kerja Indonesia yg tidak kompeten.",True,lmcwEO9Lqe8
@adita6572,2026-04-13T22:24:43Z,0,"Betul tuh min ngomu, jika masa perang dunia 3 yang menolak food estate dan MBG akan diberlakukan seperti kampanye patriotic grow inggris masa perang dunia 2 nanti di lapangan sepakbola, trotoar bahkan balkon untuk tanam sendiri",True,lmcwEO9Lqe8
@ANONCXTYU,2026-04-13T20:27:21Z,0,"kalian bisa ngebayangin ga ? 
duit judol ribuan triliun kalau langsung di sita bakal seheboh apa ?
nah ini cara halusnya 
rapi , terlihat dermawan dan duit landing dengan aman 😂,",True,lmcwEO9Lqe8
@SawiChibi,2026-04-13T18:07:21Z,0,MBG Baik hanya sedikit tidak masuk akal. Hanya menerapkan kebijakan Tidak ada reset mendalam. CARI MITRA DALAM PENGELOLAAN PUTAR RODA EKONOMI SECARA MAKSIMAL LELANG UNTUK MENGOLOA MBG SECARA INDIVENDEN,True,lmcwEO9Lqe8
@mozagege44,2026-04-13T16:15:50Z,0,"najis pilih wowo lagi,gara2 MBG harga pada mahal,ekonomi menengah k bawah menjerit.perputaran uang cuma dari pemilik MBG grosir ke atas,pasar sama warung mah,cuma nonton ke tololan prabowo.",True,lmcwEO9Lqe8
@Tirta260189,2026-04-13T13:56:55Z,0,"Proyek orang gede, yang miskin makin terjepit...",True,lmcwEO9Lqe8
@rinahrinah3462,2026-04-13T12:19:43Z,0,Waw luar binasa 🎉😂,True,lmcwEO9Lqe8
@AhmadCarita-xx3qv,2026-04-13T11:02:41Z,0,"MBG adalah beban negara, lebih baik di hapus saja",True,lmcwEO9Lqe8
@heriberbagi029,2026-04-13T10:23:03Z,0,"katanya tujuan MBG salah satunya adalah penurunan angka stunting. Setahu saya, stunting itu bisa terjadi sejak anak masih dalam kandungan ibunya hingga balita, dan sudah seharusnya  MBG ini sebagian besar fokusnya adalah di sektor kesehatan pada balita, ibu hamil, dan menyusui. fokus ke situ, dan untuk anak-anak sekolah bisalah dipilah dan dipilih mana yang yang paling memerlukan, sehingga lebih tepat sasaran dan hemat anggaran sehingga porsi makanan yang diberikan bisa lebih berkualitas. dan kalau katanya untuk sektor ekonomi/ UMKM, kayaknya SPPG sudah punya ""kontrak"" khusus dengan penyedia bahan baku makanannya yang mau diajak kerja sama. artinya sudah ""dimonopoli"" oleh satu pihak/penjual",True,lmcwEO9Lqe8
@rozak-u2z,2026-04-13T09:53:47Z,0,"mbg gak ada manfaat nya mbg program maling, koruptor, program gagal, cepat 5 th, trus ganti persiden yg bisa melepaskan rakyat dari kemiskinan dan memberantas koruptor yg menjamur di pemerintah han Indonesia",True,lmcwEO9Lqe8
@gRacieBerry89,2026-04-13T03:52:39Z,0,"Percuma mau 300jt rakyat teriaak stop MBG tiap hari, kalo DPR nya diem aja ga ada yg mewakili suara rakyat. Sudah busuk dari dalem pemerintahannya. Masa pemerintahan ga ada oposisi sama sekali? Dan rakyat jg diem aja ga punya daya ga bs protes turun ke jalan. Tinggal tunggu kehancuran kah?",True,lmcwEO9Lqe8
@zani-vv1vm,2026-04-13T03:45:56Z,0,Di tempatku tinggal aja. Gak ada MBG MBG an.,True,lmcwEO9Lqe8
@RikoArdiansyah-y1r,2026-04-13T01:47:00Z,0,"Anggaran negara abis di korup sama pejabat ,Bawak Bawak nama MBG untuk menghilangkan dalangnya,",True,lmcwEO9Lqe8
@muhammadsyaiful13,2026-04-12T22:55:57Z,0,"Harus lebih banyak belajar nya dri pada makannya, makan bergizi nggk salah, di luar negeri makan bergizi itu ada tpi dapur nya itu di skolah di kelola di skolah, klo dapur nya di luar kemungkinan besar di korup yaa ada",True,lmcwEO9Lqe8
@AdiYTWord,2026-04-12T14:31:56Z,0,"makanya kalau tujuannya meningkatkan ekonomi rakyat dan juga untuk meningkatkan gizi anak. cukup 
1. gunakan kantin sekolah. buat menu tetap ke kantin (pesanana). nominal pembelian adalah nominal normal harga beli disetiap daerah. kantin akan belanja di pasar. 
mekanisme pengawasan dari pihak MBG dan sekolah secara langsung, bukan sistem tender, melainkan sistem belanja sekolah secara nyata di lingkungan sekolah. dampaknya jelas ke seluruh jaringan masyarakat. dan untuk pengawasan tidak tercentral melainkan terjadi dari berbagai pihak. dan keikut sertaan sekolah dalam peran menjaga kualitas akan sangat penting mengingat merekalah yang mengetahui anak secara langsung jadi misalkan ada anak yang alergi makanan tertentu akan disesuaikan menunya dengan kebutuhan anak. hal ini akan semakin padu karena data hadir tidak hanya dari pusat, tapi bahkan dari tenaga pendidik dilapangan. 
kalau tujuannya bukan sebatas memelihara kantong suara untuk masa depan pemimpinnya.",True,lmcwEO9Lqe8
@asepagungofficial,2026-04-12T11:53:45Z,0,"Bagi petani pun tidak berdampak karna mereka belinya pun dari suplayer besar bukan dari petani kecil, terus dapur sppg juga beli bahan baku dg harga murah tapi sama mereka di markup harga di nota nya",True,lmcwEO9Lqe8
@asepagungofficial,2026-04-12T11:48:30Z,0,Bukan penggerak ekonomi rakyat tapi penggerak ekonomi pemilik dapur,True,lmcwEO9Lqe8
@ariwibowo7922,2026-04-12T05:12:02Z,0,Badan ngrampok duit rakyat kere,True,lmcwEO9Lqe8
@ripandarimars,2026-04-11T21:42:22Z,1,"menurut gw MBG itu bukan investasi untuk masa depan anak bangsa, tapi MBG itu investasi untuk rezim atau kelompok tertentu untuk mendapatkan lebih banyak suara di periode selanjutnya",True,lmcwEO9Lqe8
@dimashekmatyar1439,2026-04-11T12:54:54Z,0,Pemilihan presiden masih lama ya ?,True,lmcwEO9Lqe8
@nurrifdah7193,2026-04-11T12:20:21Z,0,"Setelah tau program ini jadi ajang korup masal, sejak saat itu juga ayah sama abang ga mau lagi suplai semangka dan melon ke mereka.
Alhasil mereka nyari buah buahan sampe keluar daerah..😂",True,lmcwEO9Lqe8
@NurBasyar,2026-04-11T10:16:32Z,0,"pemilik dapur sppg setahu saya hanya milik orang yg punya koneksi ke partai pemenang, kemudian belanja kebutuhan sppg ratarata langsung ke distributor, sama ke penjual partai besar,, pedagang kecil gak dapat manfaat dari progam ini",True,lmcwEO9Lqe8
@Timbul-g2w,2026-04-11T07:17:43Z,0,Penggerak ekonomi masyarakat kau kasih dana langsung ke masyarakat,True,lmcwEO9Lqe8
